city,city_ibge_code,date,epidemiological_week,estimated_population,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,order_for_place,place_type,state,new_confirmed,new_deaths
Londrina,4113700.0,2020-03-17,12,575377.0,569733.0,False,False,1,0.1738,2020-03-17,0.0,0,1,city,PR,1,0
Londrina,4113700.0,2020-03-18,12,575377.0,569733.0,False,False,1,0.1738,2020-03-18,0.0,0,2,city,PR,0,0
Londrina,4113700.0,2020-03-19,12,575377.0,569733.0,False,False,1,0.1738,2020-03-19,0.0,0,3,city,PR,0,0
Londrina,4113700.0,2020-03-20,12,575377.0,569733.0,False,False,3,0.5214,2020-03-20,0.0,0,4,city,PR,2,0
Londrina,4113700.0,2020-03-21,12,575377.0,569733.0,False,False,3,0.5214,2020-03-21,0.0,0,5,city,PR,0,0
Londrina,4113700.0,2020-03-22,13,575377.0,569733.0,False,False,3,0.5214,2020-03-22,0.0,0,6,city,PR,0,0
Londrina,4113700.0,2020-03-23,13,575377.0,569733.0,False,False,3,0.5214,2020-03-23,0.0,0,7,city,PR,0,0
Londrina,4113700.0,2020-03-24,13,575377.0,569733.0,False,False,3,0.5214,2020-03-24,0.0,0,8,city,PR,0,0
Londrina,4113700.0,2020-03-25,13,575377.0,569733.0,False,False,3,0.5214,2020-03-25,0.0,0,9,city,PR,0,0
Londrina,4113700.0,2020-03-26,13,575377.0,569733.0,False,False,3,0.5214,2020-03-26,0.0,0,10,city,PR,0,0
Londrina,4113700.0,2020-03-27,13,575377.0,569733.0,False,False,3,0.5214,2020-03-27,0.0,0,11,city,PR,0,0
Londrina,4113700.0,2020-03-28,13,575377.0,569733.0,False,False,5,0.869,2020-03-28,0.0,0,12,city,PR,2,0
Londrina,4113700.0,2020-03-29,14,575377.0,569733.0,False,False,7,1.21659,2020-03-29,0.0,0,13,city,PR,2,0
Londrina,4113700.0,2020-03-30,14,575377.0,569733.0,False,False,7,1.21659,2020-03-30,0.0,0,14,city,PR,0,0
Londrina,4113700.0,2020-03-31,14,575377.0,569733.0,False,False,9,1.56419,2020-03-31,0.0,0,15,city,PR,2,0
Londrina,4113700.0,2020-04-01,14,575377.0,569733.0,False,False,26,4.51878,2020-04-01,0.0,0,16,city,PR,17,0
Londrina,4113700.0,2020-04-02,14,575377.0,569733.0,False,False,27,4.69258,2020-04-02,0.0,0,17,city,PR,1,0
Londrina,4113700.0,2020-04-03,14,575377.0,569733.0,False,False,30,5.21397,2020-04-03,0.0333,1,18,city,PR,3,1
Londrina,4113700.0,2020-04-04,14,575377.0,569733.0,False,False,37,6.43057,2020-04-04,0.027,1,19,city,PR,7,0
Londrina,4113700.0,2020-04-05,15,575377.0,569733.0,False,False,38,6.60437,2020-04-05,0.0263,1,20,city,PR,1,0
Londrina,4113700.0,2020-04-06,15,575377.0,569733.0,False,False,47,8.16856,2020-04-06,0.0213,1,21,city,PR,9,0
Londrina,4113700.0,2020-04-07,15,575377.0,569733.0,False,False,54,9.38515,2020-04-07,0.037,2,22,city,PR,7,1
Londrina,4113700.0,2020-04-08,15,575377.0,569733.0,False,False,59,10.25415,2020-04-08,0.0339,2,23,city,PR,5,0
Londrina,4113700.0,2020-04-09,15,575377.0,569733.0,False,False,61,10.60174,2020-04-09,0.0328,2,24,city,PR,2,0
Londrina,4113700.0,2020-04-10,15,575377.0,569733.0,False,False,61,10.60174,2020-04-10,0.0492,3,25,city,PR,0,1
Londrina,4113700.0,2020-04-11,15,575377.0,569733.0,False,False,62,10.77554,2020-04-11,0.0484,3,26,city,PR,1,0
Londrina,4113700.0,2020-04-12,16,575377.0,569733.0,False,False,69,11.99214,2020-04-12,0.058,4,27,city,PR,7,1
Londrina,4113700.0,2020-04-13,16,575377.0,569733.0,False,False,72,12.51353,2020-04-13,0.0556,4,28,city,PR,3,0
Londrina,4113700.0,2020-04-14,16,575377.0,569733.0,False,False,75,13.03493,2020-04-14,0.0533,4,29,city,PR,3,0
