city,city_ibge_code,date,epidemiological_week,estimated_population,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,order_for_place,place_type,state,new_confirmed,new_deaths
Maringá,4115200.0,2020-03-18,12,430157.0,423666.0,False,False,1,0.23247,2020-03-18,0.0,0,1,city,PR,1,0
Maringá,4115200.0,2020-03-19,12,430157.0,423666.0,False,False,1,0.23247,2020-03-19,0.0,0,2,city,PR,0,0
Maringá,4115200.0,2020-03-20,12,430157.0,423666.0,False,False,1,0.23247,2020-03-20,0.0,0,3,city,PR,0,0
Maringá,4115200.0,2020-03-21,12,430157.0,423666.0,False,False,1,0.23247,2020-03-21,0.0,0,4,city,PR,0,0
Maringá,4115200.0,2020-03-22,13,430157.0,423666.0,False,False,1,0.23247,2020-03-22,0.0,0,5,city,PR,0,0
Maringá,4115200.0,2020-03-23,13,430157.0,423666.0,False,False,1,0.23247,2020-03-23,0.0,0,6,city,PR,0,0
Maringá,4115200.0,2020-03-24,13,430157.0,423666.0,False,False,1,0.23247,2020-03-24,0.0,0,7,city,PR,0,0
Maringá,4115200.0,2020-03-25,13,430157.0,423666.0,False,False,2,0.46495,2020-03-25,0.0,0,8,city,PR,1,0
Maringá,4115200.0,2020-03-26,13,430157.0,423666.0,False,False,3,0.69742,2020-03-26,0.0,0,9,city,PR,1,0
Maringá,4115200.0,2020-03-27,13,430157.0,423666.0,False,False,7,1.62731,2020-03-27,0.2857,2,10,city,PR,4,2
Maringá,4115200.0,2020-03-28,13,430157.0,423666.0,False,False,7,1.62731,2020-03-28,0.2857,2,11,city,PR,0,0
Maringá,4115200.0,2020-03-29,14,430157.0,423666.0,False,False,8,1.85979,2020-03-29,0.25,2,12,city,PR,1,0
Maringá,4115200.0,2020-03-30,14,430157.0,423666.0,False,False,8,1.85979,2020-03-30,0.25,2,13,city,PR,0,0
Maringá,4115200.0,2020-03-31,14,430157.0,423666.0,False,False,9,2.09226,2020-03-31,0.2222,2,14,city,PR,1,0
